scenario,action,iterations,failures,min_ms,mean_ms,stdev_ms,q1_ms,median_ms,q3_ms,p80_ms,p95_ms,max_ms,total_wall_ms
normal,List_Pop,100,0,0.1709,7.1946,5.3068,4.6864,6.4746,9.0943,9.4896,12.5846,46.8304,19878.3
normal,List_PopMultiple,100,0,0.0872,6.6898,4.2585,3.6149,5.7992,9.0985,9.6730,13.7862,25.4054,18909.4
normal,List_SplitAt,100,0,0.0877,4.2716,3.3107,2.5358,3.5957,5.0736,5.5346,7.6262,20.9513,15873.5
normal,List_PopByCondition,100,0,0.0872,3.6790,2.0826,2.4655,3.3493,4.9617,5.1547,5.9002,16.2782,16376.6
normal,List_PopMultipleByCondition,100,0,0.2981,13.7885,8.7491,8.6301,12.3049,16.0829,18.1975,29.6845,44.2722,17439.3
normal,List_PopByConditions,100,0,0.0901,3.7804,2.6965,2.4789,3.3312,4.6477,5.0029,6.2220,22.4255,16270.7
normal,List_PopMultipleByConditions,100,0,0.4230,14.7467,7.2617,10.4100,14.9440,18.1006,20.0269,26.8351,36.5697,17321.9
normal,List_Partition,100,0,0.5501,15.7579,9.0652,9.5876,13.1680,21.8088,25.6091,30.6367,50.5673,18112.9
normal,List_PartitionByConditions,100,0,0.4807,25.2158,11.4226,15.4871,25.5297,32.7520,35.6944,43.7542,52.2765,22059.8
normal,List_Zip,100,0,0.3887,19.5282,9.4070,12.7004,18.7890,25.5846,27.2423,35.8772,42.4842,21289.6
normal,List_GroupBy,100,0,0.4288,24.5873,12.2111,16.9203,23.8903,31.3440,33.0082,48.8790,60.9024,21536.9
normal,List_ZipGroupBy,100,0,0.9026,51.5777,24.4958,36.2223,51.4372,70.4406,72.5381,89.6181,123.5052,23960.4
normal,List_Difference,100,0,0.5805,28.3228,14.6015,18.0101,28.2441,38.3238,41.6297,50.7093,66.6025,21554.7
normal,List_Intersect,100,0,0.5984,31.5159,16.9511,20.1894,28.9480,41.2255,43.6514,60.8137,91.5675,21964.6
normal,List_Union,100,0,0.7576,44.2410,22.6021,30.2611,41.8504,58.8769,64.4726,82.3727,102.4599,23378.2
normal,List_GroupByMultiple,100,0,0.4909,24.8660,13.6696,13.9131,21.6561,34.2986,36.0429,50.2450,63.5607,21377.8
normal,List_ZipGroupByMultiple,100,0,0.9957,56.0296,24.7957,38.8077,57.4083,73.7088,77.7538,97.9990,107.0052,24203.1
normal,List_Chunk,100,0,0.1737,7.4777,3.7512,4.8159,7.0138,9.6526,10.0955,13.2307,20.0206,19700.4
normal,List_DistinctBy,100,0,0.2260,10.2112,5.2912,6.4022,9.2890,13.5164,14.4582,19.9241,23.5365,20080.0
normal,List_Slice,100,0,0.1361,5.8088,3.3545,3.7971,5.5815,7.2030,7.7726,9.6755,22.8409,19618.5
normal,List_Shuffle,100,0,0.1788,7.7306,3.6032,5.1483,7.5236,10.0006,10.7193,14.0396,17.7190,19929.2
normal,List_UpdateAt,100,0,0.1755,7.4476,3.9341,5.1778,7.2409,9.0870,9.6411,12.4814,23.8071,20006.4
normal,List_Reverse,100,0,0.1645,7.7191,4.9924,4.8744,7.0071,9.1739,9.9933,14.5568,28.3739,20028.1
normal,List_Flatten,100,0,0.1801,7.1636,3.4193,5.4493,6.7571,9.1429,9.5454,12.1174,20.1360,19939.1
normal,List_Sample,100,0,0.0990,5.2009,4.2155,2.7591,4.4390,5.9893,6.4983,10.6790,25.3326,19613.6
