scenario,action,iterations,failures,min_ms,mean_ms,stdev_ms,q1_ms,median_ms,q3_ms,p80_ms,p95_ms,max_ms,total_wall_ms
worst,List_Pop,100,0,6.3063,9.0547,6.8612,6.8565,7.4368,7.9977,8.3954,18.3407,65.1460,51114.5
worst,List_PopMultiple,100,0,7.1276,8.7821,3.4874,7.4454,7.6745,8.2227,8.3856,18.2150,25.4138,49757.6
worst,List_SplitAt,100,0,6.2852,8.0782,4.0047,6.4972,6.6891,7.0994,7.2445,18.5118,26.0164,47987.0
worst,List_PopByCondition,100,0,6.2276,7.7324,3.9201,6.4620,6.5769,6.8095,6.9281,18.1847,27.6788,47917.1
worst,List_PopMultipleByCondition,100,0,13.8592,18.1796,4.3279,15.6334,17.1431,18.3851,19.3453,27.7927,40.2044,48758.2
worst,List_PopByConditions,100,0,6.1986,7.0775,2.7760,6.3886,6.5700,6.8617,6.9320,7.2915,26.8662,47765.0
worst,List_PopMultipleByConditions,100,0,17.2816,21.0723,2.9864,19.1951,20.2373,21.9915,22.6856,27.7560,33.1998,49346.6
worst,List_Partition,100,0,14.0170,17.8269,3.8289,15.9230,16.9999,18.0135,18.9754,23.1480,37.8321,49342.8
worst,List_PartitionByConditions,100,0,17.3475,21.3788,4.1442,19.2695,20.2124,21.8831,22.3689,28.5925,38.4799,49649.0
worst,List_Zip,100,0,14.9705,19.6120,5.4341,16.8370,17.6481,18.4775,19.2763,32.9748,35.9094,49171.5
worst,List_GroupBy,100,0,15.3737,19.4163,3.9289,17.0375,18.3565,20.4969,20.9364,25.7636,38.6734,48595.2
worst,List_ZipGroupBy,100,0,32.8900,38.6048,4.9318,35.4156,36.9364,40.6461,41.1563,49.4826,58.2525,50561.0
worst,List_Difference,100,0,23.2876,28.7384,5.4872,25.1925,27.6345,29.9832,30.3946,40.8381,54.0769,49598.8
worst,List_Intersect,100,0,23.6382,29.5846,4.9456,26.6327,28.3232,31.5814,32.2068,39.3517,52.9082,49592.2
worst,List_Union,100,0,26.5204,33.4068,5.4510,29.9743,32.4308,35.0502,36.1683,45.5465,56.0263,49987.7
worst,List_GroupByMultiple,100,0,17.9840,20.7244,2.7901,18.9738,19.9443,21.4771,21.7600,24.6898,37.0205,48693.3
worst,List_ZipGroupByMultiple,100,0,38.2594,46.6220,7.1036,41.1200,44.6047,49.7864,52.3860,59.3821,81.7799,51344.0
worst,List_Chunk,100,0,6.2231,8.1316,3.8973,6.5125,7.2768,7.9027,8.0643,11.6837,28.0839,47473.0
worst,List_DistinctBy,100,0,9.8309,14.0103,4.0048,11.5289,13.1764,14.2378,14.4349,22.4907,35.7360,48405.0
worst,List_Slice,100,0,4.8415,6.8491,4.5061,4.9349,5.1390,5.5406,5.7489,17.9287,25.7767,47476.7
worst,List_Shuffle,100,0,7.1687,9.5469,4.6193,7.5051,7.8591,8.2878,8.6402,21.3991,27.4601,47777.8
worst,List_UpdateAt,100,0,6.1101,7.6999,3.6417,6.3130,6.5314,6.8403,6.8803,18.5151,22.7887,47599.8
worst,List_Reverse,100,0,6.3546,13.6549,7.1646,6.8435,11.5987,19.9801,20.7824,25.2216,27.1268,47715.2
worst,List_Flatten,100,0,11.6719,18.7543,4.9229,14.8220,17.1683,22.5186,23.4206,26.1933,33.4096,49292.5
worst,List_Sample,100,0,3.8293,6.3275,5.0139,3.9941,4.1219,4.6382,4.9940,19.2188,24.3707,47724.7
worst,List_ReplaceWhere,100,0,17.2338,21.2488,4.0801,19.2190,20.1308,22.1400,22.4551,27.6214,46.5621,49102.4
worst,List_UpdateMultipleAt,100,0,6.5309,7.6484,2.1954,6.7299,7.0343,8.1112,8.3279,8.9663,27.1694,47535.9
worst,List_MinBy,100,0,10.8842,15.1111,3.5839,12.9484,14.3342,15.9058,16.9844,21.1851,39.7478,48329.6
worst,List_MaxBy,100,0,10.8535,14.0853,2.0695,12.7251,13.7550,14.9273,15.2128,17.9301,25.1277,48407.1
worst,List_Aggregate,100,0,11.3631,14.2212,2.0231,12.8674,13.7546,15.2497,15.8748,17.1548,23.9463,48631.6
worst,List_ZipMany,100,0,21.7601,28.5025,5.8212,25.1359,26.6859,27.6728,29.9695,42.2098,46.2871,50687.5
worst,List_ZipManyGroupBy,100,0,52.6147,65.0581,10.1647,59.6152,62.4623,68.8622,70.7791,83.7552,102.2178,53914.0
worst,List_ZipManyGroupByMultiple,100,0,62.3382,74.8071,12.6359,65.5940,70.1142,79.6216,83.2912,103.1556,116.0368,55261.0
