scenario,action,iterations,failures,min_ms,mean_ms,stdev_ms,q1_ms,median_ms,q3_ms,p80_ms,p95_ms,max_ms,total_wall_ms
normal,List_Pop,100,0,0.0823,4.5496,5.3766,2.4251,3.6652,4.8419,5.1311,7.3945,45.1762,16368.6
normal,List_PopMultiple,100,0,0.1175,4.6834,3.9029,2.3746,3.8667,5.5314,5.8581,12.9668,23.3607,15936.7
normal,List_SplitAt,100,0,0.3344,4.4510,3.7822,2.7328,3.5541,4.7581,5.1032,12.6881,21.1952,15998.0
normal,List_PopByCondition,100,0,0.0856,4.0576,3.6821,2.3805,3.2255,4.4410,4.7149,10.9222,24.6826,16019.8
normal,List_PopMultipleByCondition,100,0,0.5962,22.0911,10.7259,14.5688,22.2235,29.4886,31.0324,38.4357,46.6755,21602.2
normal,List_PopByConditions,100,0,0.2935,7.1054,3.7078,4.8908,6.9086,8.9269,9.4456,11.9848,28.5939,21117.1
normal,List_PopMultipleByConditions,100,0,0.4961,27.6221,14.4929,16.5935,26.2788,37.9277,40.6324,52.6999,64.0017,23049.4
normal,List_Partition,100,0,0.4047,26.4606,15.7986,16.3465,22.8901,38.1414,41.6580,55.2752,73.6966,22926.2
normal,List_PartitionByConditions,100,0,0.5052,25.0906,10.8901,17.9170,25.5586,31.9151,34.5579,41.9613,53.0472,22464.8
normal,List_Zip,100,0,0.3999,19.0579,9.2671,12.9246,18.0562,24.3852,25.6882,35.8847,50.5834,22310.7
normal,List_GroupBy,100,0,0.6837,25.4045,12.0278,17.1889,24.6955,32.9175,35.0374,46.5260,57.9236,22704.2
normal,List_ZipGroupBy,100,0,0.8812,74.5595,46.7192,38.2381,67.3002,105.6753,119.2546,156.2972,196.2995,27205.1
normal,List_Difference,100,0,0.6113,38.0759,25.5204,17.4119,30.2471,57.8597,60.4090,88.2899,102.9101,23540.1
normal,List_Intersect,100,0,0.7275,30.7415,15.0421,20.5021,29.7964,41.1465,42.3082,56.9573,72.5716,22727.4
normal,List_Union,100,0,0.8243,46.1920,23.7528,25.2646,45.9262,63.2878,68.0710,82.4408,107.9812,24265.3
normal,List_GroupByMultiple,100,0,0.4979,30.0051,18.5514,17.3419,25.8193,38.5162,42.4423,66.2403,78.1137,22871.4
normal,List_ZipGroupByMultiple,100,0,1.0306,61.0982,29.6482,39.6922,61.4604,85.7010,87.3215,107.3315,138.9738,25719.4
normal,List_Chunk,100,0,0.2185,7.4976,4.1581,4.9611,7.0958,9.4162,10.1161,12.8591,32.2724,20268.0
normal,List_DistinctBy,100,0,0.2284,11.2428,6.6705,6.9501,10.4594,14.6402,16.0546,20.4119,47.0983,20719.3
normal,List_Slice,100,0,0.1305,6.4388,4.2611,4.1871,5.7960,7.9256,8.2164,11.3340,24.3147,20586.0
normal,List_Shuffle,100,0,0.1894,9.6912,6.3519,5.5615,8.2316,11.8613,13.1039,23.9337,33.7728,21251.2
normal,List_UpdateAt,100,0,0.1746,7.2216,4.1732,4.9977,6.6293,9.0117,9.6957,12.4432,32.4867,20743.4
normal,List_Reverse,100,0,0.2242,9.0534,6.7465,4.9489,7.1868,10.2700,11.4374,25.5942,30.9038,20756.5
normal,List_Flatten,100,0,0.1779,8.2511,5.4436,5.0960,7.2682,9.8069,10.5052,21.3614,30.2607,20652.2
normal,List_Sample,100,0,0.1068,5.6990,4.6557,3.1772,4.5375,6.1709,7.0680,15.8224,28.8353,20468.2
normal,List_ReplaceWhere,100,0,0.4020,20.1781,9.0805,13.9029,20.6175,25.5220,26.9905,34.5740,42.9131,22070.8
normal,List_UpdateMultipleAt,100,0,0.4141,7.3094,3.2217,5.1634,7.2464,9.4748,9.8059,11.9304,15.4857,20746.2
normal,List_MinBy,100,0,0.3513,14.4380,7.3985,10.0115,13.8680,19.0378,20.4225,26.9887,41.1856,21325.5
normal,List_MaxBy,100,0,0.2558,13.8943,6.2332,10.0828,13.9234,17.4582,18.4694,22.9577,32.8294,21222.5
normal,List_Aggregate,100,0,0.4798,13.6134,6.3125,9.7477,13.1844,16.7542,19.1756,25.1986,28.1724,21287.1
normal,List_ZipMany,100,0,0.9482,26.1749,12.0392,17.3847,24.8865,33.9540,36.4829,46.7820,53.4454,22910.7
normal,List_ZipManyGroupBy,100,0,1.3405,94.5426,48.2129,64.3096,93.7018,120.4780,122.7901,188.1615,223.7704,29594.1
normal,List_ZipManyGroupByMultiple,100,0,1.4506,109.5907,56.4946,66.3346,109.0375,137.9367,148.6366,212.7362,255.2120,31176.4
